post_text,cluster
rUSC Monthly BuySell Housing Carpool and USC ticket posts go here February 2026,0
USC PIBBS PhD Fall 2026,0
Does ZHS have study rooms,3
Making friends at usc,3
How to get to Irvine via Public Transport,3
what dorms do you guys recc,3
Bike air pump on campus,1
be so fr guys,3
Sc outfitters,3
New Food truck ideathough,3
Friends,3
Can you imagine,3
Anyone at roski I can chat with,3
stolen scooter,3
Pickup SoccerBaseball,3
Learn Python,3
Why is there no NCAA Mens Cross Country team,3
MoltBot designer,3
usc transfer app coming up,3
Maybe its kinda late but would anyone be willing to review my transfer essays,3
What the actual fuck is this USC,3
Housing Situation Fall,3
Max my last semester,3
SAM DARNOLD IS THE FIRST USC QB TO WIN A SUPER BOWL,2
Will I get rejected from a PDP if I have a W on my transcript this semester,3
Transfer app LOR,3
Looking for everyones favorite dispensaries nearby,3
USC PreMed Academy,3
East Asian Orchestra looking for musicians Cello Percussion timpani etc and all sorts of East Asian instruments,3
CSS after first year,2
Tire Shop Taqueria Closing Time,3
USC Keck school of medicine housing,3
How Likely is it to Have Another Roommate at Gateway on 8th Floor Penthouse,3
on campus places to study on weekends,1
W 30th Street noise,3
USC Winter Olympians 2026,0
Whats TCCs The Consulting Clubs acceptance rate,3
Looking for people interested in going camping every now  then dont have a car,3
Gateway best view,3
Cost of attendance is brutal and idk what to do,3
How do i book a room at JFF,3
Bangs in Exposition Park,3
Career fair,3
Did anyone get an accurate estimated cost of attendance,3
How long does advisor Leon Johnson usually take to reply to emailsadviseUSC,3
Merit Scholarships,3
Anyone know of where to find Parties,3
ChatGPT Codex,3
hopeless spittle,3
1 bed  studio,3
Marshall internal transfer grades,3
Would students studying Construction Management have any interest in a part time jobrole,0
placing a bounty on dubai chocolate chewy cookie,3
Is USC worth it,3
Why do Marshall students get a badish rep,0
Coffee shops or restaurants near Galen Center,3
is the trojan network really just for marshall and SCA,3
Anyone up for a Palentines Day,3
Where do you store money for clubs,3
Can I add on a double major if its from a different school at USC,3
Village parking,3
Is GIS Valid,3
class not being recorded,3
Is this a good sign or sent to eveyonemost people,3
SCA Interview Tips,3
Is Ditto Valid,3
USC Internship ExpoCareer Fairs Dress Code EngineeringTech Roles,3
Town and Gown Acceptance Rates,3
Questions About Summer Housing Interning at Deloitte,3
Annenberg MS Digital Media Management question,3
Anyone know what lock sizes are reliable for locking EScooters on campus,1
Thematic Option Application,3
Rooms with big mirrors,3
BUAD 311 Operations Study Group  Discord All course topics,3
Pick my Masters,3
YouSC Scholarship Portal Dead End Help,3
McCarthy requirements,3
roski page followed me three weeks after applying,3
rule for overnight guests that dont go to usc,3
Why are people getting flowers and a sign,3
How to study for Bisc220,3
Could someone near frat row please do me a small favor and scan for a comb,3
Rejected from USC clubs why do I even try,3
birnkrant or mccarthy,3
scholarship stacking  please help,3
NEED CLASS URGENTLY,3
Any protest at usc,3
Havent been able to register for classes because of late financial aid and extenuating circumstances what to do now,3
Prof recs for Econ 352,3
Question  best place for running near USC,3
How much of your Off Campus rent were you able to get covered by Financial Aid,1
Early Action Aid Estimates,3
MS EE experiences,3
Transfer letters of rec,3
Best value for meal plan swipes,3
Leisure BooksPopular Reading,3
RED 200 hw buddy,3
How is it commuting from the IE to campus,1
Anyone planning to study abroad F26 in Spain  experience w abroad,3
how easy is it to sneak food out of village dining hall,3
CSCI 538 ARVR,3
Study abroad yes or no  Transfer student,3
Has anyone taken NAUT 301a andor BAEP 470,3
usc fast portal not updating,3
Is there anywhere on campus I can spraypaint,1
USC students Quick question,0
Does usc allow u to do bfa acting and a majorminor in academics at the same time,3
Which parking structures are the least busy,3
This is so funny,3
Best chance to get village housing,3
FAST portal FAFSA issue,3
Is study abroad even an option as a film production major,3
PHED UNIT REQUIREMENT,3
Where is the ELC,3
Phi beta kappa,3
Bisc 220 Lab Time Switch,3
financial aid question Laid off,3
Car Broken into at USC Shrine Parking Structure,3
Is there a film watching club at USC,3
Is timothee chalamet acc on campus,1
Graduation QuestionsPhotos,3
academic probation CS grad student,3
Hows the CECS program here and any insights on USC,3
short answer qs,3
Visiting AngelsHospital Services at Keck,3
Course material optout refund,3
USC ChatGPT Hallucination,3
Freshman housing advice,3
My room got robbed by Maintenance,3
taco stand,3
Dornsife Degree Requirement,3
Looking for people to be friends with,3
Transfer Help,3
Transfer supplemental question,3
frats,3
gay guys,3
Trojan eye center student insurance,3
switching majors before starting first year dornsife to marshallannenberg,2
How long after grad does gym access end,3
General Physician,3
Incoming international student deciding on MS Global Supply Chain Management  would love honest insights,3
Completion of Dornsife Foreign Lang Req Late,3
Limit on lower div substitutions,3
Anyones Upass not renewing,3
About housing applications,3
Study abroad advice,3
Transfer application,3
Housing  what are the odds of successfully getting housing in village 2b4p  db,3
Genuine question does the cia recruit from usc,3
FAST Portal Required Documents,3
Freshman Housing,3
Any groups for USC Fall 2026 Admits to connect,0
Not going to class until the third week,3
Places to have online meetingsZoom,3
2 unit class reqs,3
Hows the international relations program here,3
Any crafters at USC,3
USC housing price increase,3
How early to get to the game for free shirtsswag,3
Does USC have Music RecordingSound Design like courses,3
GERO340 USC w Prof Aaron Hagedorn,3
poetry,3
Parent question thoughts on USC and the Business of Cinematic Arts program,3
USC Call Of Duty Last Call,3
PHYS 152 at USC over the Summer,3
USC EdD in Educational Leadership Application,3
