post_text,cluster
rUSC Monthly BuySell Housing Carpool and USC ticket posts go here February 2026,2
USC PIBBS PhD Fall 2026,3
Does ZHS have study rooms,0
Making friends at usc,3
How to get to Irvine via Public Transport,0
what dorms do you guys recc,0
Bike air pump on campus,0
be so fr guys,0
Sc outfitters,0
New Food truck ideathough,1
Friends,1
Can you imagine,0
Anyone at roski I can chat with,0
stolen scooter,0
Pickup SoccerBaseball,2
Learn Python,0
Why is there no NCAA Mens Cross Country team,0
MoltBot designer,0
usc transfer app coming up,3
Maybe its kinda late but would anyone be willing to review my transfer essays,0
What the actual fuck is this USC,3
Housing Situation Fall,2
Max my last semester,0
SAM DARNOLD IS THE FIRST USC QB TO WIN A SUPER BOWL,3
Will I get rejected from a PDP if I have a W on my transcript this semester,0
Transfer app LOR,1
Looking for everyones favorite dispensaries nearby,0
USC PreMed Academy,3
East Asian Orchestra looking for musicians Cello Percussion timpani etc and all sorts of East Asian instruments,0
CSS after first year,0
Tire Shop Taqueria Closing Time,0
USC Keck school of medicine housing,2
How Likely is it to Have Another Roommate at Gateway on 8th Floor Penthouse,0
on campus places to study on weekends,0
W 30th Street noise,0
USC Winter Olympians 2026,3
Whats TCCs The Consulting Clubs acceptance rate,0
Looking for people interested in going camping every now  then dont have a car,0
Gateway best view,0
Cost of attendance is brutal and idk what to do,0
How do i book a room at JFF,0
Bangs in Exposition Park,0
Career fair,0
Did anyone get an accurate estimated cost of attendance,0
How long does advisor Leon Johnson usually take to reply to emailsadviseUSC,0
Merit Scholarships,0
Anyone know of where to find Parties,0
ChatGPT Codex,0
hopeless spittle,0
1 bed  studio,0
Marshall internal transfer grades,1
Would students studying Construction Management have any interest in a part time jobrole,0
placing a bounty on dubai chocolate chewy cookie,0
Is USC worth it,3
Why do Marshall students get a badish rep,0
Coffee shops or restaurants near Galen Center,0
is the trojan network really just for marshall and SCA,0
Anyone up for a Palentines Day,0
Where do you store money for clubs,0
Can I add on a double major if its from a different school at USC,3
Village parking,0
Is GIS Valid,0
class not being recorded,0
Is this a good sign or sent to eveyonemost people,0
SCA Interview Tips,0
Is Ditto Valid,0
USC Internship ExpoCareer Fairs Dress Code EngineeringTech Roles,3
Town and Gown Acceptance Rates,0
Questions About Summer Housing Interning at Deloitte,2
Annenberg MS Digital Media Management question,1
Anyone know what lock sizes are reliable for locking EScooters on campus,0
Thematic Option Application,0
Rooms with big mirrors,0
BUAD 311 Operations Study Group  Discord All course topics,0
Pick my Masters,0
YouSC Scholarship Portal Dead End Help,0
McCarthy requirements,0
roski page followed me three weeks after applying,0
rule for overnight guests that dont go to usc,3
Why are people getting flowers and a sign,0
How to study for Bisc220,0
Could someone near frat row please do me a small favor and scan for a comb,3
Rejected from USC clubs why do I even try,3
birnkrant or mccarthy,0
scholarship stacking  please help,0
NEED CLASS URGENTLY,0
Any protest at usc,3
Havent been able to register for classes because of late financial aid and extenuating circumstances what to do now,3
Prof recs for Econ 352,0
Question  best place for running near USC,3
How much of your Off Campus rent were you able to get covered by Financial Aid,3
Early Action Aid Estimates,0
MS EE experiences,3
Transfer letters of rec,1
Best value for meal plan swipes,0
Leisure BooksPopular Reading,0
RED 200 hw buddy,0
How is it commuting from the IE to campus,0
Anyone planning to study abroad F26 in Spain  experience w abroad,1
how easy is it to sneak food out of village dining hall,0
CSCI 538 ARVR,0
Study abroad yes or no  Transfer student,1
Has anyone taken NAUT 301a andor BAEP 470,0
usc fast portal not updating,3
Is there anywhere on campus I can spraypaint,0
USC students Quick question,3
Does usc allow u to do bfa acting and a majorminor in academics at the same time,3
Which parking structures are the least busy,0
This is so funny,0
Best chance to get village housing,2
FAST portal FAFSA issue,3
Is study abroad even an option as a film production major,1
PHED UNIT REQUIREMENT,0
Where is the ELC,0
Phi beta kappa,0
Bisc 220 Lab Time Switch,0
financial aid question Laid off,0
Car Broken into at USC Shrine Parking Structure,3
Is there a film watching club at USC,3
Is timothee chalamet acc on campus,0
Graduation QuestionsPhotos,0
academic probation CS grad student,2
Hows the CECS program here and any insights on USC,3
short answer qs,0
Visiting AngelsHospital Services at Keck,0
Course material optout refund,0
USC ChatGPT Hallucination,3
Freshman housing advice,2
My room got robbed by Maintenance,0
taco stand,0
Dornsife Degree Requirement,0
Looking for people to be friends with,1
Transfer Help,1
