Date,Ticker,Signal,Confidence,Close
2024-03-13,AAPL,-1,0.691,169.7453155517578
2024-03-13,AMZN,1,0.7483,176.55999755859375
2024-03-13,GOOGL,-1,0.6089,138.74168395996094
2024-03-13,IBM,1,0.751,186.7431182861328
2024-03-13,MSFT,1,0.61,409.7582092285156
2024-03-13,ORCL,1,0.535,122.93312072753906
2024-03-13,TSLA,-1,0.6025,169.47999572753906
2024-03-14,AAPL,-1,0.6992,171.6001739501953
2024-03-14,AMZN,1,0.7402,178.75
2024-03-14,GOOGL,-1,0.614,142.0269012451172
2024-03-14,IBM,1,0.7505,183.63864135742188
2024-03-14,MSFT,1,0.6031,419.74798583984375
2024-03-14,ORCL,1,0.5375,122.94293212890624
2024-03-14,TSLA,-1,0.6028,162.5
2024-03-15,AAPL,-1,0.7106,171.22325134277344
2024-03-15,AMZN,1,0.7383,174.4199981689453
2024-03-15,GOOGL,-1,0.6196,140.1212615966797
2024-03-15,IBM,1,0.7414,181.39813232421875
2024-03-15,MSFT,1,0.5993,411.0612182617187
2024-03-15,ORCL,1,0.5407,122.95272064208984
2024-03-15,TSLA,-1,0.6056,163.57000732421875
2024-03-18,AAPL,-1,0.7181,172.31434631347656
2024-03-18,AMZN,1,0.7286,174.47999572753906
2024-03-18,GOOGL,-1,0.6103,146.57252502441406
2024-03-18,IBM,1,0.7283,181.9867401123047
2024-03-18,MSFT,1,0.5945,411.94964599609375
2024-03-18,ORCL,1,0.5459,125.16615295410156
2024-03-18,TSLA,-1,0.5996,173.8000030517578
2024-03-19,AAPL,-1,0.7209,174.6552734375
2024-03-19,AMZN,1,0.7221,175.89999389648438
2024-03-19,GOOGL,-1,0.6086,145.9274139404297
2024-03-19,IBM,1,0.7204,183.55320739746097
2024-03-19,MSFT,1,0.5915,415.987060546875
2024-03-19,ORCL,1,0.5549,126.52749633789062
2024-03-19,TSLA,-1,0.5991,171.32000732421875
2024-03-20,AAPL,-1,0.7193,177.22425842285156
2024-03-20,AMZN,1,0.7165,178.14999389648438
2024-03-20,GOOGL,-1,0.6039,147.62460327148438
2024-03-20,IBM,1,0.7204,184.141845703125
2024-03-20,MSFT,1,0.5924,419.7578125
2024-03-20,ORCL,1,0.5653,126.57647705078124
2024-03-20,TSLA,-1,0.5935,175.66000366210938
2024-03-21,AAPL,-1,0.7412,169.98336791992188
2024-03-21,AMZN,1,0.7069,178.14999389648438
2024-03-21,GOOGL,-1,0.6034,146.49314880371094
2024-03-21,IBM,1,0.715,182.18609619140625
2024-03-21,MSFT,1,0.5888,423.8445129394531
2024-03-21,ORCL,1,0.5727,126.35121154785156
2024-03-21,TSLA,-1,0.5949,172.82000732421875
2024-03-22,AAPL,-1,0.7478,170.885986328125
2024-03-22,AMZN,1,0.6978,178.8699951171875
2024-03-22,GOOGL,-1,0.5961,149.63938903808594
2024-03-22,IBM,1,0.706,181.17974853515625
2024-03-22,MSFT,1,0.5888,423.2226257324219
2024-03-22,ORCL,1,0.5794,125.15635681152344
2024-03-22,TSLA,-1,0.5941,170.8300018310547
2024-03-25,AAPL,-1,0.7574,169.4675750732422
2024-03-25,AMZN,1,0.6904,179.7100067138672
2024-03-25,GOOGL,-1,0.5823,148.9446258544922
2024-03-25,IBM,1,0.699,179.23353576660156
2024-03-25,MSFT,1,0.5898,417.4183044433594
2024-03-25,ORCL,1,0.5868,123.48159790039062
2024-03-25,TSLA,-1,0.5954,172.6300048828125
2024-03-26,AAPL,-1,0.7701,168.3367919921875
2024-03-26,AMZN,1,0.6856,178.3000030517578
2024-03-26,GOOGL,-1,0.569,149.5401153564453
2024-03-26,IBM,1,0.6907,178.9582061767578
2024-03-26,MSFT,1,0.5905,416.2239074707031
2024-03-26,ORCL,1,0.5934,123.8635711669922
2024-03-26,TSLA,-1,0.5953,177.6699981689453
2024-03-27,AAPL,-1,0.7711,171.90765380859375
2024-03-27,AMZN,1,0.6787,179.8300018310547
2024-03-27,GOOGL,-1,0.552,149.7386016845703
2024-03-27,IBM,1,0.682,181.14178466796875
2024-03-27,MSFT,1,0.5912,416.0067138671875
2024-03-27,ORCL,1,0.6002,122.68828582763672
2024-03-27,TSLA,-1,0.597,179.8300018310547
2024-03-28,AAPL,-1,0.7821,170.09246826171875
2024-03-28,AMZN,1,0.6677,180.3800048828125
2024-03-28,GOOGL,-1,0.5388,149.7981719970703
2024-03-28,IBM,1,0.6754,181.293701171875
2024-03-28,MSFT,1,0.5875,415.305908203125
2024-03-28,ORCL,1,0.606,123.0212860107422
2024-03-28,TSLA,-1,0.6039,175.7899932861328
2024-04-01,AAPL,-1,0.7884,168.6542205810547
2024-04-01,AMZN,1,0.6563,180.97000122070312
2024-04-01,GOOGL,-1,0.5177,154.32398986816406
2024-04-01,IBM,1,0.665,180.22088623046875
2024-04-01,MSFT,1,0.5843,419.1063232421875
2024-04-01,ORCL,1,0.611,122.89395904541016
2024-04-01,TSLA,-1,0.6103,175.22000122070312
2024-04-02,AAPL,-1,0.7858,167.47381591796875
2024-04-02,AMZN,1,0.6472,180.69000244140625
2024-04-02,GOOGL,1,0.5087,153.4009552001953
2024-04-02,IBM,1,0.6492,179.3189697265625
2024-04-02,MSFT,1,0.583,416.0166320800781
2024-04-02,ORCL,1,0.6163,121.77745819091795
2024-04-02,TSLA,-1,0.6176,166.6300048828125
2024-04-03,AAPL,-1,0.7691,168.2772674560547
2024-04-03,AMZN,1,0.6422,182.41000366210935
2024-04-03,GOOGL,1,0.5363,153.75823974609375
2024-04-03,IBM,1,0.6353,181.23670959472656
2024-04-03,MSFT,1,0.5886,415.0393371582031
2024-04-03,ORCL,1,0.6231,123.63829040527344
2024-04-03,TSLA,-1,0.6145,168.3800048828125
2024-04-04,AAPL,-1,0.7534,167.4540252685547
2024-04-04,AMZN,1,0.64,180.0
2024-04-04,GOOGL,1,0.5643,149.4011993408203
2024-04-04,IBM,1,0.6169,178.42654418945312
2024-04-04,MSFT,1,0.5945,412.5024108886719
2024-04-04,ORCL,1,0.632,121.63054656982422
2024-04-04,TSLA,-1,0.608,171.11000061035156
2024-04-05,AAPL,-1,0.7347,168.2078399658203
2024-04-05,AMZN,1,0.6322,185.07000732421875
2024-04-05,GOOGL,1,0.5884,151.3563995361328
2024-04-05,IBM,1,0.5963,179.56582641601562
2024-04-05,MSFT,1,0.5974,420.0440673828125
2024-04-05,ORCL,1,0.6372,122.32591247558594
2024-04-05,TSLA,-1,0.6103,164.89999389648438
2024-04-08,AAPL,-1,0.7229,167.08697509765625
2024-04-08,AMZN,1,0.6307,185.19000244140625
2024-04-08,GOOGL,1,0.614,153.68878173828125
2024-04-08,IBM,1,0.5868,180.21139526367188
